# =====================================================================
# ÍNDICE COMPLEMENTAR — TRILHA DE IMPLANTAÇÃO E TREINAMENTO FISCAL
# Projeto: Minérios Gerais (agenda 09/09 e 11/09)
# ---------------------------------------------------------------------
# Origem: lacunas identificadas no índice local (Bloco K, registro de
# inventário, CIAP, EFD Contribuições, extrator fiscal/REINF, quebra de
# estoque, exportação e vencimento do PCC) e preenchidas com páginas
# oficiais do TDN e da Central de Atendimento TOTVS localizadas em
# 2026-09-11. Todas as URLs pertencem a tdn.totvs.com ou
# centraldeatendimento.totvs.com.
# Formato: Título | URL (mesmo padrão dos demais índices)
# =====================================================================

# ---- Bloco K (EFD ICMS/IPI) ----
Bloco K (trilha fiscal) - Bloco K: Informações Gerais sobre o Bloco - Linha Microsiga Protheus | https://tdn.totvs.com/pages/releaseview.action?pageId=259560649
Bloco K (trilha fiscal) - SIGAEST - Como o Protheus gera no SPED o Registro K200: Estoque Escriturado? | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360019502091-Cross-Segmento-Backoffice-Linha-Protheus-SIGAEST-Como-o-Protheus-gera-no-SPED-o-Registro-K200-Estoque-Escriturado
Bloco K (trilha fiscal) - SIGAEST - Quais são as tabelas relacionadas para composição do saldo do registro K200 no bloco K? | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360021629091-Cross-Segmento-Backoffice-Linha-Protheus-SIGAEST-Quais-s%C3%A3o-as-tabelas-relacionadas-para-composi%C3%A7%C3%A3o-do-saldo-do-registro-K200-no-bloco-K
Bloco K (trilha fiscal) - SIGAEST - Como definir um tipo de produto que não é padrão do Protheus para ser considerado no Registro K200? | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360033136554
Bloco K (trilha fiscal) - SIGAEST - Legais e Fiscais no Estoque (seção de artigos) | https://centraldeatendimento.totvs.com/hc/pt-br/sections/1500001538941-SIGAEST-LEGAIS

# ---- Registro de inventário / Bloco H ----
Registro de Inventário (trilha fiscal) - FIS - Arq. Magnéticos - SPED FISCAL - Como gerar bloco H Inventário Físico e Controle de Estoque | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360010316131-Cross-Segmentos-Backoffice-Protheus-FIS-Arq-Magn%C3%A9ticos-SPED-FISCAL-Como-gerar-bloco-H-Invent%C3%A1rio-F%C3%ADsico-e-Controle-de-Estoque
Registro de Inventário (trilha fiscal) - SIGAEST - Processo de Inventário - Conceito, Exemplo e Dúvidas (MATA270/MATA340) | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360020799592-Cross-Segmento-Backoffice-Linha-Protheus-SIGAEST-Processo-de-Invent%C3%A1rio-Conceito-Exemplo-e-D%C3%BAvidas
Registro de Inventário (trilha fiscal) - SIGAEST - MATA271 - Bloqueio de produtos para inventário por data calculada | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360021321072-Cross-Segmento-Backoffice-Linha-Protheus-SIGAEST-MATA271-Bloqueio-de-produtos-para-invent%C3%A1rio-por-data-calculada
Registro de Inventário (trilha fiscal) - SIGAEST - MATA340 - MV_CONTINV múltiplas contagens de inventário por seleção de contagem | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360061630273-MP-SIGAEST-MATA340-MV-CONTINV-m%C3%BAltiplas-contagens-de-invent%C3%A1rio-por-sele%C3%A7%C3%A3o-de-contagem
Registro de Inventário (trilha fiscal) - SIGAEST - Principais relatórios para conferência dos saldos físicos e financeiros (MATR460) | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360004834251-Cross-Segmento-Backoffice-Linha-Protheus-SIGAEST-Principais-relat%C3%B3rios-para-confer%C3%AAncia-dos-saldos-f%C3%ADsicos-e-financeiros
Registro de Inventário (trilha fiscal) - Relatórios - Estoque - Linha Microsiga Protheus (MATR460, MATR243 IN 1673/2016) | https://tdn.totvs.com/pages/releaseview.action?pageId=271408946
Registro de Inventário (trilha fiscal) - SUP.PROTHEUS - Eventos Tira Dúvidas (materiais de Bloco K, Bloco H e Rotina de Inventário) | https://tdn.totvs.com/pages/releaseview.action?pageId=550307175

# ---- CIAP ----
CIAP (trilha fiscal) - CIAP - Crédito de ICMS sobre o Ativo Permanente - Linha Microsiga Protheus | https://tdn.totvs.com/pages/viewpage.action?pageId=708871751
CIAP (trilha fiscal) - FIS - Processo de configuração do CIAP para gerar o SPED Fiscal (MATA905/MATA906) | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360035400914-CROSS-Segmentos-TOTVS-Backoffice-Linha-Protheus-FIS-Processo-de-configura%C3%A7%C3%A3o-do-CIAP-para-gerar-o-SPED-Fiscal
CIAP (trilha fiscal) - FIS - CIAP - Crédito ICMS sobre ativo permanente / Relatório CIAP (MATR995) | https://centraldeatendimento.totvs.com/hc/pt-br/articles/360028514051-CROSS-Segmentos-TOTVS-Backoffice-Linha-Protheus-FIS-CIAP-Cr%C3%A9dito-ICMS-sobre-ativo-permanente-Relat%C3%B3rio-CIAP

# ---- EFD Contribuições ----
EFD Contribuições (trilha fiscal) - Apuração EFD Contribuições - Linha Microsiga Protheus (FISA001) | https://tdn.totvs.com/pages/viewpage.action?pageId=270905514
